symbol,kind,yf_ticker,last_date,rows,action,updated_at
HFCL,equity,HFCL.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:20.055748
INDHOTEL,equity,INDHOTEL.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:21.333503
IMFA,equity,IMFA.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:22.593987
IKS,equity,IKS.NS,2026-07-29,400,+2 rows,2026-07-29 14:33:24.142532
JSLL,equity,JSLL.NS,2026-07-29,1050,+2 rows,2026-07-29 14:33:25.393590
KALYANKJIL,equity,KALYANKJIL.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:26.596214
KAYNES,equity,KAYNES.NS,2026-07-29,913,+2 rows,2026-07-29 14:33:27.778239
KDDL,equity,KDDL.NS,2026-07-29,1239,+2 rows,2026-07-29 14:33:28.994734
KLBRENG-B,equity,KLBRENG-B.NS,2026-07-29,70,+2 rows,2026-07-29 14:33:30.219120
KMEW,equity,KMEW.NS,2026-07-29,410,+2 rows,2026-07-29 14:33:31.404492
KPIGREEN,equity,KPIGREEN.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:32.685658
KRISHNADEF,equity,KRISHNADEF.NS,2026-07-29,1056,+2 rows,2026-07-29 14:33:33.898169
KRN,equity,KRN.NS,2026-07-29,454,+2 rows,2026-07-29 14:33:35.097576
KSHINTL,equity,KSHINTL.NS,2026-07-29,150,+2 rows,2026-07-29 14:33:36.441695
LLOYDSME,equity,LLOYDSME.NS,2026-07-29,752,+2 rows,2026-07-29 14:33:37.650441
LUMAXTECH,equity,LUMAXTECH.NS,2026-07-29,1240,+2 rows,2026-07-29 14:33:38.933774
MANORAMA,equity,MANORAMA.NS,2026-07-29,1009,+2 rows,2026-07-29 14:33:40.135478
MTARTECH,equity,MTARTECH.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:41.340966
MCX,equity,MCX.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:42.634154
MUTHOOTFIN,equity,MUTHOOTFIN.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:43.859682
NETWEB,equity,NETWEB.NS,2026-07-29,744,+2 rows,2026-07-29 14:33:45.250043
NLCINDIA,equity,NLCINDIA.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:46.526841
NUVAMA,equity,NUVAMA.NS,2026-07-29,703,+2 rows,2026-07-29 14:33:47.697399
OMNI,equity,OMNI.NS,2026-07-29,101,+2 rows,2026-07-29 14:33:48.906401
PARAS,equity,PARAS.NS,2026-07-29,1195,+2 rows,2026-07-29 14:33:50.111194
PERSISTENT,equity,PERSISTENT.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:51.401029
PGEL,equity,PGEL.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:52.621297
POLYCAB,equity,POLYCAB.NS,2026-07-29,1241,+2 rows,2026-07-29 14:33:53.856939
QPOWER,equity,QPOWER.NS,2026-07-29,354,+2 rows,2026-07-29 14:33:55.083821
RACLGEAR,equity,RACLGEAR.NS,2026-07-29,408,+2 rows,2026-07-29 14:33:56.280084
RATEGAIN,equity,RATEGAIN.NS,2026-07-29,1142,+2 rows,2026-07-29 14:33:57.505376
ROSSTECH,equity,ROSSTECH.NS,2026-07-29,407,+2 rows,2026-07-29 14:33:58.680882
